Drone ID,Flight Radius,Flight height,Thermal/Night Camera,Max wind resistance,Camera Quality,ISO range,Battery Life,Payload Capacity,Dimensions,Real-time data transmission,Transmission bandwidth,Data storage ability,Air/Water quality sensor availability,Noise level,Operating Temperature,Class Identification Label,Charging Time,Automatic Landing/Takeoff,GPS Supported Systems,Automated Path Finding,Budgets options
SenseFly Gliscor 300U,9.839275636184652,496.56041757478425,0,10.17011753848442,480p,800,251.78821977983827,27.887938482448636,11675.977242354844,1,30.077690592494108,32,1,69.88854227549581,-14.434824110958642,C3,33.19150842439273,1,GPS+GLONASS,0,8776.8
Teledyne FLIR Accelgor 300S,5.756658183968051,10.89551410652579,0,7.582975106513142,1080p,400,189.35969497416602,26.548514037768314,12339.242100968122,1,63.46663626159429,128,0,42.699944377574056,49.331823802060256,C0,75.9232493316897,0,GPS+Galileo,1,10462.73
Quantum Systems Dragapult 500S,6.297276340470472,890.3066193347752,1,3.678315091024907,720p,400,588.5342021211582,10.776068062003885,4310.644659260626,0,0.0,64,0,86.57950900760818,27.205228643841956,C1,125.65912488257091,1,GPS+GLONASS,0,8176.54
Quantum Systems Azelf 200S,4.010122763696481,346.00349668827505,0,6.831265743913438,4K,12800,506.126146394673,9.721702377390557,16989.777152253013,1,10.118389054562442,512,0,81.63411448838383,25.135540909195,C2,112.61827071256094,0,GPS+BeiDou,0,9301.81
Parrot Galvantula 10000e,7.446300631853548,634.5100137106841,0,12.06225743655494,1080p,3200,469.9472159973799,3.897466870914976,18475.74105026475,0,0.0,256,1,72.18243671401949,6.482499973006004,C0,200.58851025643332,1,GPS,1,8996.45
3DR Dragapult 300,4.011859250238295,337.39948232531657,1,11.651022551495464,480p,3200,408.5625885455402,24.85183948462823,4155.867253787847,1,43.936416095273295,128,0,57.21163677136691,16.385134847329894,C3,194.96691855026302,0,GPS+Galileo,0,6966.94
Skydio Rotom 1000X,7.654751241649898,890.0998411937092,1,2.8779753556519796,720p,100,466.031334999033,8.629902898473057,15334.837093162032,0,0.0,256,1,62.21829668464112,35.38381459778544,C2,48.71015326181736,1,GPS+GLONASS,0,9086.81
AeroVironment Rotom 5000S,9.824312356540496,732.0291663436743,1,11.18877968813822,4K,100,192.89272803487466,23.480598477189073,19592.003965884403,1,43.65541356963474,512,0,63.82052206818046,-17.331305634911033,C4,229.92225224353072,0,GPS+GLONASS,1,15000.0
DJI Accelgor 300Z,1.6811676721189894,103.37756672181345,1,6.15755375470804,720p,800,449.38553006864373,8.285018838272121,19767.89103506517,1,49.87482466738032,64,0,44.13542614609335,16.981815662257574,C0,140.7659022504568,1,GPS+Galileo,1,10945.08
Parrot Frosmoth 2000Z,4.745946836621748,709.6341951393418,1,14.746530815448743,4K,12800,93.30495114728652,15.293110906423552,15969.549906561058,0,0.0,8,0,63.026521750220624,-18.03332034086414,C4,155.24483220056084,0,GPS,0,6006.0
Parrot Frosmoth 200w,5.489404842066251,881.6124976327457,0,4.035248209814922,480p,200,339.7075964420758,26.00663910970986,9164.721855999549,0,0.0,128,0,80.15797323583675,10.954946545143226,C3,115.0619219745402,1,GPS,1,4838.04
Holy Stone Azelf 5000f,4.3610733965897905,545.1324400200062,0,4.655421630498702,4K,25600,151.17771897883918,26.19265045827643,3365.3819952872723,0,0.0,16,0,73.30527031121007,49.58653730015939,C4,166.3952006960558,0,GPS+GLONASS,0,6607.39
Yuneec Zeraora 1000f,2.967312979105896,975.9735355998947,1,8.288426243413742,4K,400,457.72821775318874,26.879510146975523,5622.336146998068,1,43.15719873928697,16,1,38.17247857310813,3.7549979956993695,C0,212.97852373488763,0,GPS+BeiDou,0,14712.44
Baykar Dragapult 300Z,3.9356374015060513,475.303199447302,1,8.211859537856956,480p,3200,495.7992962759432,11.123316461934019,3320.6706995631416,1,31.913861074274063,8,1,52.438680975009255,37.69957809102424,C3,171.52655303209488,1,GPS+BeiDou,0,8916.89
AeroVironment Frosmoth 5000S,8.380811280577888,48.811597631081625,1,2.8806807440849767,720p,100,72.15334236894938,26.15582052865394,17786.79044123749,1,43.20877938931801,32,0,45.67362772378708,-9.267269711053117,C3,233.7206942020956,1,GPS+BeiDou,1,11021.67
Teledyne FLIR Volcarona 3000S,6.516425610789554,518.3544564633349,0,8.813662873152612,4K,200,379.905469843421,17.76344122499285,11537.310067344612,0,0.0,1024,1,50.15032647304996,47.665468443607836,C4,177.2356724290242,0,GPS+BeiDou,0,8742.86
Quantum Systems Genesect 5000X,9.538969332498166,526.6223850209547,1,12.70823733725069,1080p,100,273.73535795278354,23.124887171141705,11499.743165823204,1,89.44552714859634,512,1,78.09988750727355,19.767653412499968,C2,202.56135465365506,0,GPS,0,11459.23
Quantum Systems Volcarona 500U,4.770002274003807,583.7022666918767,0,7.5033012984311105,4K,12800,548.5074686240756,10.123625367792256,8216.265434119072,0,0.0,8,1,87.86775705755687,2.4255367305541533,C2,39.45831260195523,1,GPS+GLONASS,0,10639.81
Yuneec Noivern 3000X,8.788935471020283,838.8782565458747,1,9.555472198666656,720p,12800,459.7535029687455,4.112546998215684,1559.3624443442604,0,0.0,64,0,33.27607515602507,-8.290740411922213,C0,171.2666879394856,1,GPS+GLONASS,1,9541.37
Autel Robotics Gliscor 200M,7.922077827975055,357.25468714587805,1,11.779699918097863,4K,3200,215.43087936962127,18.90729755139703,13685.776433865632,0,0.0,512,1,57.58225657907741,-12.956307880897736,C0,167.49805533532242,1,GPS+BeiDou,0,11594.47
Ryze Tech Accelgor 2000X,2.6535752394084735,912.2751062063536,0,7.142076971574105,720p,25600,540.0963676702031,6.630717378715933,4057.1985021407872,0,0.0,128,1,46.05657876773844,35.803377672713644,C2,51.36667070614098,1,GPS+GLONASS,0,6653.63
PowerVision Metagross 2000S,7.6243827396395005,406.40798954106197,0,8.055864939932182,480p,200,520.5334556359337,24.22315933272633,10852.740837233046,1,94.47184180218409,512,1,62.35016148298671,-15.961829662271306,C2,206.90137417335814,1,GPS,0,8534.45
3DR Vikavolt Z,8.227363952261332,395.8323476880659,0,12.28015343121871,1080p,3200,512.8442014364473,13.685248762341455,11505.697690909617,1,50.681830912549316,16,0,75.15064016219176,1.4987314021633793,C2,158.97620481923744,0,GPS+Galileo,0,10140.22
AeroVironment Frosmoth 3000M,3.5299237041555145,408.24215739814645,0,12.463255917991495,720p,6400,545.485234037709,25.37361483014292,14118.624484253074,1,62.771342227419005,256,1,85.47248194975911,19.49900897697171,C0,50.648898980835924,0,GPS+Galileo,1,11582.5
Elbit Systems Volcarona 300S,9.742319764928023,112.95185847797744,0,4.168058342901627,4K,12800,231.33331167130115,0.768445555872748,6274.132788277699,0,0.0,64,1,49.183191010361085,33.0099446656043,C1,154.83809493176355,1,GPS+GLONASS,0,8756.11
Parrot Galvantula 10000X,6.752333557075181,471.26788160898514,1,12.011516948638185,1080p,100,174.90740522777466,1.1915389040346651,9034.30841407454,0,0.0,512,1,82.76852387815381,30.732494565328416,C0,130.4673281490846,0,GPS+GLONASS,1,8202.58
Skydio Hydreigon 10000X,6.993796479400817,651.5904459752837,0,8.101586372747,480p,6400,417.3337192279257,1.260900520769608,11666.478610942962,1,12.446221112850276,256,0,40.227688644644005,-19.564688884604944,C2,78.99164967643912,0,GPS+GLONASS,0,3789.78
Hubsan Metagross 1000,4.595969239604745,304.71686317243933,0,14.030474094328465,1080p,1600,17.655011333355056,22.26247653961387,7712.555658195796,0,0.0,1024,0,63.567285799284456,45.74612789681211,C1,34.14877902173088,0,GPS+BeiDou,0,3373.46
Quantum Systems Skarmory 300,0.6973491719944513,893.4160900943263,1,6.300291465398621,1080p,200,28.23657777879161,22.011193873469303,7895.321218104509,0,0.0,8,0,53.68090667898089,-11.76785938892796,C3,106.76912904900998,0,GPS+BeiDou,1,7218.32
Hubsan Rotom 3000U,9.979801769556776,483.78524500171824,0,5.964246590601075,720p,1600,40.87728713477221,19.93222144401017,4018.455914150892,1,32.411262700211765,16,1,80.5881119231695,47.27589947906884,C0,160.168726268716,0,GPS+GLONASS,0,7340.6
Holy Stone Volcarona 100,6.37750959640117,289.5391782594928,0,8.294892548469601,4K,400,76.6305220847656,27.856672915861548,5197.640455666413,0,0.0,64,0,87.84174693469484,-14.11862466950354,C0,99.14861803233148,1,GPS+Galileo,1,11004.15
DJI Rotom 2000S,0.6815258298855154,424.35447792581385,0,14.023786912510328,720p,400,450.9389419646667,25.143311135048688,7785.477041831455,1,42.06779498340955,8,0,32.536146417852166,-5.345289126501914,C2,94.52347702827015,0,GPS,0,4633.1
AgEagle Volcarona 10000X,1.4613703730645033,421.73759083042535,0,3.88616047507196,4K,200,536.1898207881599,21.89359031277151,2977.437256315641,0,0.0,8,1,30.850553332474234,27.426398128478347,C1,187.73546084596634,1,GPS+GLONASS,1,12299.39
Holy Stone Clawitzer 500U,8.389132737851657,773.5948497361002,1,10.842041784514942,480p,100,574.3696195805202,17.966293030372075,17945.49106301992,1,86.76460663045323,32,0,56.67511169138254,21.69466117578503,C4,189.3111759867207,0,GPS,0,7421.21
Ryze Tech Hydreigon 100w,2.7719490987354867,740.5718596467897,1,12.47986694900153,480p,200,574.189405148195,19.61445872294028,9313.758792617638,1,25.795081174254165,16,0,50.48381278086295,4.775936879329471,C4,180.9408254506268,1,GPS,1,9115.93
DJI Porygon 300,5.394509711949852,478.4945765119178,1,13.274743816521497,720p,200,292.0622380858204,21.337910623367453,15294.329667272112,1,48.82039216200773,1024,0,70.71544106204185,11.312494115035495,C1,51.24821036208965,0,GPS,0,6489.0
PowerVision Hydreigon 1000X,0.8043277269406246,506.87838694690106,1,3.1583102517767374,720p,6400,552.9927765027854,19.638466254826266,9807.165329409663,0,0.0,1024,1,67.96986219900883,46.64823162773072,C4,138.39485096410812,0,GPS,1,6400.79
Elbit Systems Rotom 200,5.66346735394167,837.3086492909692,0,10.781948100976647,480p,6400,130.72410339431926,14.551002172556021,5667.609562172042,0,0.0,1024,1,80.17600487859004,22.24438017142345,C3,147.13771867669587,1,GPS+BeiDou,1,5926.93
Teledyne FLIR Rotom e,3.6248491127415305,722.6804851459298,0,9.961217316042568,1080p,800,415.9715412447462,13.26723746474346,9086.552790886846,0,0.0,256,1,41.63006711953208,17.229016883191548,C3,186.40895065748276,0,GPS+GLONASS,1,8355.54
DJI Accelgor 10000M,3.182136407131294,515.4864718619199,0,10.47674043734018,480p,6400,118.89709349623884,23.38540582187964,18524.72387410905,0,0.0,64,0,50.231251826727835,39.347688012597445,C0,219.66732167478213,1,GPS,0,500.0
DJI Mavic 4 Pro,15.0,6000.0,1,15.0,6K,12800,51.0,0.5,30000.0,1,20.0,512,0,60.0,40.0,C1,90.0,1,GPS+GLONASS,1,2500.0
Matrice 300 RTK,15.0,6000.0,1,15.0,4K,12800,55.0,2.7,45000.0,1,18.0,128,1,70.0,45.0,C3,120.0,1,GPS+GLONASS+RTK,1,12000.0
Autel EVO Lite+,10.0,500.0,0,10.0,6K,6400,40.0,0.2,10000.0,1,10.0,128,0,55.0,35.0,C1,80.0,1,GPS,1,1600.0
Skydio 2,5.0,100.0,0,8.0,4K,3200,23.0,0.1,8000.0,1,8.0,64,0,50.0,30.0,C1,60.0,1,GPS+GLONASS,1,1000.0
Parrot Anafi USA,7.0,200.0,1,12.0,4K,12800,32.0,0.3,12000.0,1,12.0,64,1,58.0,35.0,C2,90.0,1,GPS+Galileo,1,7000.0
RQ-11 Raven,10.0,150.0,1,10.0,720p,3200,90.0,1.9,20000.0,1,5.0,64,0,45.0,40.0,C3,120.0,1,GPS,0,45000.0
